"","value","IdNumber","Nome","Paises","Rating","Flag","data"
"87","2132621        Almeida, Tiago De                                            BRA M                                1911  0   40 1983  i   ","2132621","Almeida, Tiago","BRA","1911","i","DEC23"
"88","2153262        Almeida, Vitor Felipe De                                     BRA M                                1633  0   40 1995  i   ","2153262","Almeida, Vitor","BRA","1633","i","DEC23"
"89","44733690       Almeida, Wellinton De Sousa                                  BRA M                                1553  0   40 1999      ","4473369","Almeida, Wellinton","BRA","1553",NA,"DEC23"
"90","2190370        Almeida, Ygor de Souza                                       BRA M                                1765  0   20 2000  i   ","2190370","Almeida, Ygor","BRA","1765","i","DEC23"
"91","22782818       Alonso, Leonardo Espinha                                     BRA M                                1291  6   40 2014      ","2278281","Alonso, Leonardo","BRA","1291",NA,"DEC23"
"92","22783822       Alonso, Murilo Souza Lima                                    BRA M                                1261  0   40 2013      ","2278382","Alonso, Murilo","BRA","1261",NA,"DEC23"
"93","2105799        Alonso, Nickolas                                             BRA M                                2131  0   20 1985  i   ","2105799","Alonso, Nickolas","BRA","2131","i","DEC23"
"94","2108585        Alonso, Raphael V. P. Patricio                               BRA M                                2170  6   20 1987      ","2108585","Alonso, Raphael","BRA","2170",NA,"DEC23"
"95","22725326       Alquem, Claudia Regina                                       BRA F                                1320  0   40 1964  w   ","2272532","Alquem, Claudia","BRA","1320","w","DEC23"
"96","44706243       Altenhofen, Guilherme Graneto                                BRA M                                1425  0   40 2010      ","4470624","Altenhofen, Guilherme","BRA","1425",NA,"DEC23"
"97","44706251       Altenhofen, Rafael Graneto                                   BRA M                                1446  0   40 2012      ","4470625","Altenhofen, Rafael","BRA","1446",NA,"DEC23"
"98","2104938        Alvares, Antonio de Padua                                    BRA M                                2064  0   40 1944  i   ","2104938","Alvares, Antonio","BRA","2064","i","DEC23"
"99","44730497       Alvares, Pedro Oliveira                                      BRA M                                1819  0   40 2010      ","4473049","Alvares, Pedro","BRA","1819",NA,"DEC23"
"100","2123657        Alves Campelo, Danilo Cesar De L                             BRA M                                2011  0   20 1990      ","2123657","Campelo, Danilo","BRA","2011",NA,"DEC23"
"101","2167050        Alves Campos, Mayra Fernanda                                 BRA M                                1635  0   40 1989  i   ","2167050","Campos, Mayra","BRA","1635","i","DEC23"
"102","2125730        Alves da Silva, Felipe                                       BRA M                                1515  0   20 2001  i   ","2125730","Silva, Felipe","BRA","1515","i","DEC23"
"103","2159317        Alves da Silva, Jadson Paulino                               BRA M                                1742  0   20 1982  i   ","2159317","Silva, Jadson","BRA","1742","i","DEC23"
"104","22767266       Alves Da Silva, Jose Paulo Junior                            BRA M                                1427  0   40 2000  i   ","2276726","Silva, Jose","BRA","1427","i","DEC23"
"105","2137585        Alves da Silva,Thiago                                        BRA M                                1944  0   20 1986  i   ","2137585","Silva,Thiago","BRA","1944","i","DEC23"
"106","2127873        Alves De Medeiros, Jovany                                    BRA M                                2070  0   20 1952  i   ","2127873","Medeiros, Jovany","BRA","2070","i","DEC23"
